Insert sort
sample size	executiontime
0	0.000000
1	0.000000
4	0.000000
9	0.000000
16	0.000000
25	0.000000
36	0.000000
49	0.000000
64	0.000000
81	0.000000
100	0.000000
121	0.000000
144	0.000000
169	0.000000
196	0.000000
225	0.015000
256	0.000000
289	0.000000
324	0.000000
361	0.016000
400	0.000000
441	0.016000
484	0.000000
529	0.015000
576	0.016000
625	0.000000
676	0.016000
729	0.016000
784	0.015000
841	0.031000
900	0.032000
961	0.031000
1024	0.047000
1089	0.031000
1156	0.047000
1225	0.047000
1296	0.062000
1369	0.078000
1444	0.063000
1521	0.078000
1600	0.094000
1681	0.109000
1764	0.125000
1849	0.125000
1936	0.125000
2025	0.141000
2116	0.171000
2209	0.172000
2304	0.187000
2401	0.187000
